"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2022-11-23 13:28:20","13:28","Fuel","-20.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-11-22 10:32:12","10:32","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-21 11:05:07","11:05","Hair product","-10.00","EUR","1.0000000000","Entertainment","Shopping","Savings","","","None"
"Expense","2022-11-21 11:04:52","11:04","Haircut","-8.00","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-11-19 21:58:02","21:58","Food","-17.50","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-11-19 20:03:28","20:03","Food","-7.30","EUR","1.0000000000","Entertainment","Dining Out","Savings","For Maria","","None"
"Expense","2022-11-19 16:55:01","16:55","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-19 13:13:06","13:13","Ebay","-139.00","EUR","1.0000000000","Entertainment","Shopping","Savings","Laptop ","","None"
"Expense","2022-11-19 11:26:48","11:26","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-17 22:08:39","22:08","Water","-0.50","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-11-17 15:04:02","15:04","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-17 13:16:05","13:16","Food","-12.50","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-11-17 12:12:34","12:12","Coffee","-2.20","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-17 11:50:16","11:50","Fuel","-30.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Income","2022-11-17 10:03:43","10:03","Tepak frontistiria","160.00","EUR","1.0000000000","Employer","Side Hustle","Savings","For October ","","None"
"Expense","2022-11-16 20:03:20","20:03","Ebay","-2.83","EUR","1.0000000000","Entertainment","Shopping","Savings","Screen Protector iphone 11","","None"
"Expense","2022-11-16 19:59:39","19:59","Ebay","-3.46","EUR","1.0000000000","Entertainment","Shopping","Savings","Screen Protector poco f1","","None"
"Income","2022-11-16 15:10:31","15:10","Tepak frontistiria","51.00","EUR","1.0000000000","Employer","Side Hustle","Savings","For September","","None"
"Expense","2022-11-15 15:55:13","15:55","Groceries","-5.05","EUR","1.0000000000","Household","Grocery","Savings","Coffee","","None"
"Expense","2022-11-14 22:21:49","22:21","Car maintenance","-200.00","EUR","1.0000000000","Car","Maintenance","Wallet","Full service","","None"
"Income","2022-11-14 09:10:02","09:10","Master scholarship","770.00","EUR","1.0000000000","Others","Sponsorship","Savings","","","None"
"Expense","2022-11-12 13:25:33","13:25","Clothes","-30.10","EUR","1.0000000000","Entertainment","Shopping","Savings","Belt","","None"
"Expense","2022-11-12 12:17:39","12:17","Coffee","-5.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-12 09:44:44","09:44","Aliexpress","-3.34","EUR","1.0000000000","Entertainment","Shopping","Savings","Xbox controller case","","None"
"Expense","2022-11-11 13:29:09","13:29","Cyta","-47.39","EUR","1.0000000000","Utilities","Mobile","Savings","September and October ","","None"
"Expense","2022-11-10 12:05:35","12:05","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-10 12:05:27","12:05","Fuel","-20.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-11-09 17:27:33","17:27","Aliexpress","-2.42","EUR","1.0000000000","Entertainment","Shopping","Savings","Xbox controller case","","None"
"Expense","2022-11-08 22:37:22","22:37","Drinks","-30.00","EUR","1.0000000000","Entertainment","Drinks","Savings","","","None"
"Expense","2022-11-08 21:01:29","21:01","Coffee","-2.60","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-08 21:01:20","21:01","Courier","-5.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-11-08 00:21:38","00:21","Giota","-18.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-11-08 00:21:21","00:21","Gift","100.00","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-11-08 00:21:09","00:21","Steam","-7.02","EUR","1.0000000000","Entertainment","Games","Savings","Conan exiles","","None"
"Expense","2022-11-06 17:52:57","17:52","Public","-9.40","EUR","1.0000000000","Entertainment","Shopping","Savings","","","None"
"Expense","2022-11-06 16:44:47","16:44","Ebay","-37.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-11-06 16:05:02","16:05","Airplane","-109.00","EUR","1.0000000000","Others","Others","Savings","To athens","","None"
"Expense","2022-11-06 15:28:30","15:28","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-05 23:00:03","23:00","Google Colab","-10.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-11-05 18:35:28","18:35","Food","-5.40","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-11-05 16:56:56","16:56","Coffee","-4.10","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-03 21:11:18","21:11","Food","-9.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-11-03 19:16:26","19:16","Coffee and snack","-6.20","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-03 16:15:19","16:15","Coffee","-3.00","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-03 14:20:27","14:20","Food","-4.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-11-03 11:47:59","11:47","Coffee","-2.20","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-11-01 10:37:45","10:37","Aliexpress","-8.25","EUR","1.0000000000","Entertainment","Shopping","Savings","Xbox controller case","","None"
"Expense","2022-11-01 09:41:52","09:41","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-30 15:41:53","15:41","Coffee","-12.40","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-30 12:24:27","12:24","Aliexpress","-5.42","EUR","1.0000000000","Entertainment","Shopping","Savings","Xbox controller case","","None"
"Expense","2022-10-28 20:41:00","20:41","Snack","-11.55","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-28 17:29:02","17:29","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-27 22:45:15","22:45","Drinks","-9.20","EUR","1.0000000000","Entertainment","Drinks","Savings","","","None"
"Expense","2022-10-27 22:14:07","22:14","Snack","-0.90","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-27 17:35:29","17:35","Snack","-2.20","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-27 17:35:04","17:35","Coffee","-4.70","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Income","2022-10-27 10:41:05","10:41","Tepak","1564.00","EUR","1.0000000000","Employer","Salary","Savings","","","None"
"Expense","2022-10-27 08:41:09","08:41","Fuel","-47.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-10-26 12:18:35","12:18","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-23 15:01:26","15:01","Coffee","-4.00","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-22 18:52:55","18:52","Coffee","-3.20","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-22 16:02:55","16:02","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-21 22:18:49","22:18","Food","-14.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-20 17:56:25","17:56","Coffee","-4.00","EUR","1.0000000000","Entertainment","Coffee","Wallet","","","None"
"Expense","2022-10-20 14:31:37","14:31","Food","-4.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-20 12:31:34","12:31","Bus","-2.00","EUR","1.0000000000","Car","Transport","Wallet","","","None"
"Expense","2022-10-20 12:31:29","12:31","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-19 17:57:17","17:57","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-18 15:31:09","15:31","Haircut","-8.00","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-10-17 13:00:48","13:00","Coffee","-3.40","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-14 20:27:24","20:27","Food","-24.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-14 09:13:34","09:13","Coffee","-3.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-13 21:13:58","21:13","Drinks","-4.00","EUR","1.0000000000","Entertainment","Drinks","Savings","","","None"
"Expense","2022-10-13 17:30:16","17:30","Food","-10.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-10-13 15:24:16","15:24","Coffee","-4.40","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-13 14:02:36","14:02","Kiosk","-0.50","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-10-11 16:51:02","16:51","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-11 09:50:22","09:50","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-10 19:13:22","19:13","Gym","-45.00","EUR","1.0000000000","Others","Others","Savings","Gymnastica","","None"
"Expense","2022-10-09 17:12:28","17:12","Coffee","-8.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-09 11:25:26","11:25","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-08 16:15:09","16:15","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-08 15:40:46","15:40","Groceries","-10.31","EUR","1.0000000000","Household","Grocery","Savings","
","","None"
"Expense","2022-10-08 15:31:11","15:31","Gift","-35.00","EUR","1.0000000000","Others","Others","Savings","Panagos","","None"
"Expense","2022-10-08 12:58:08","12:58","Fine","-8.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-10-08 11:43:15","11:43","Coffee","-11.35","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-08 11:37:19","11:37","Fuel","-61.01","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-10-06 13:52:06","13:52","Coffee","-3.40","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-06 12:00:52","12:00","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-05 23:00:03","23:00","Google Colab","-10.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-10-05 20:43:06","20:43","Gamepass","-10.00","EUR","1.0000000000","Entertainment","Games","Savings","","","None"
"Expense","2022-10-05 18:53:48","18:53","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-05 11:41:32","11:41","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-10-04 18:30:22","18:30","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-10-04 15:34:08","15:34","Carwash","-10.00","EUR","1.0000000000","Car","Maintenance","Savings","","","None"
"Expense","2022-10-02 17:25:55","17:25","Coffee","-12.85","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-29 22:09:09","22:09","Drinks","-7.00","EUR","1.0000000000","Entertainment","Drinks","Savings","","","None"
"Expense","2022-09-29 20:49:16","20:49","Food","-5.50","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-29 17:10:49","17:10","Food","-4.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-29 14:47:30","14:47","Coffee","-5.30","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Income","2022-09-29 09:52:04","09:52","Tepak","1564.00","EUR","1.0000000000","Employer","Salary","Savings","","","None"
"Expense","2022-09-27 21:11:25","21:11","Food","-5.00","EUR","1.0000000000","Entertainment","Dining Out","Wallet","","","None"
"Expense","2022-09-27 18:33:02","18:33","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-26 09:31:53","09:31","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-24 15:12:55","15:12","Coffee","-3.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-23 23:38:50","23:38","Beer","-3.50","EUR","1.0000000000","Entertainment","Drinks","Savings","","","None"
"Expense","2022-09-23 23:38:45","23:38","Food","-4.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-23 17:54:19","17:54","Coffee","-6.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-23 17:27:06","17:27","Fuel","-61.01","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-09-22 13:37:04","13:37","Cyta","-23.10","EUR","1.0000000000","Utilities","Mobile","Savings","","","None"
"Expense","2022-09-22 10:31:45","10:31","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-21 12:26:47","12:26","Coffee","-11.70","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-20 19:53:14","19:53","Coffee","-4.40","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-20 19:53:06","19:53","Fuel","-20.00","EUR","1.0000000000","Car","Fuel","Wallet","","","None"
"Expense","2022-09-19 17:16:29","17:16","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-19 13:56:02","13:56","Groceries","-3.68","EUR","1.0000000000","Household","Grocery","Savings","
","","None"
"Expense","2022-09-19 09:13:39","09:13","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-18 16:22:24","16:22","Coffee","-4.00","EUR","1.0000000000","Entertainment","Coffee","Wallet","","","None"
"Expense","2022-09-17 20:54:57","20:54","Food","-10.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-17 20:22:52","20:22","Glasses","-5.00","EUR","1.0000000000","Entertainment","Shopping","Wallet","Giorti krasiou","","None"
"Expense","2022-09-17 18:31:54","18:31","Coffee","-7.30","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-16 10:39:20","10:39","Fuel","-49.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-09-16 10:39:11","10:39","Coffee","-3.80","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-14 09:49:44","09:49","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-13 22:09:29","22:09","Food","-9.70","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-13 16:29:54","16:29","Coffee","-2.80","EUR","1.0000000000","Entertainment","Coffee","Savings","Alfred","","None"
"Expense","2022-09-13 16:29:48","16:29","Fuel","-20.00","EUR","1.0000000000","Car","Fuel","Wallet","","","None"
"Expense","2022-09-12 09:38:12","09:38","Coffee","-2.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-08 09:10:15","09:10","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-07 11:41:33","11:41","Coffee","-5.00","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-06 12:33:34","12:33","Snack","-1.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-09-06 09:40:40","09:40","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-05 23:00:03","23:00","Google Colab","-10.00","EUR","1.0000000000","Others","Others","Savings","","","None"
"Expense","2022-09-05 12:36:58","12:36","Coffee","-4.70","EUR","1.0000000000","Entertainment","Coffee","Savings","","","None"
"Expense","2022-09-04 21:15:18","21:15","Steam","-6.86","EUR","1.0000000000","Entertainment","Games","Savings","Conan exiles","","None"
"Expense","2022-09-04 15:34:34","15:34","Coffee","-5.00","EUR","1.0000000000","Entertainment","Coffee","Wallet","","","None"
"Expense","2022-09-03 15:03:16","15:03","Eshop","-31.70","EUR","1.0000000000","Entertainment","Shopping","Savings","","","None"
"Expense","2022-09-03 11:33:29","11:33","Coffee","-2.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-09-02 20:13:26","20:13","Fuel","-67.00","EUR","1.0000000000","Car","Fuel","Wallet","","","None"
"Expense","2022-09-02 20:13:06","20:13","Car maintenance","-500.00","EUR","1.0000000000","Car","Maintenance","Wallet","Full service","","None"
"Expense","2022-09-02 13:05:37","13:05","Clothes","-329.56","EUR","1.0000000000","Entertainment","Shopping","Savings","Gamos andrea","","None"
"Income","2022-08-31 11:04:46","11:04","Tepak","1564.00","EUR","1.0000000000","Employer","Salary","Savings","","","None"
"Expense","2022-08-31 10:46:30","10:46","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-31 10:46:05","10:46","ΚΕΠ","-8.54","EUR","1.0000000000","Others","Others","Savings","Εκδοση κοτσιαννιου","","None"
"Expense","2022-08-30 23:36:05","23:36","Drinks","-22.00","EUR","1.0000000000","Entertainment","Drinks","Wallet","","","None"
"Expense","2022-08-30 23:36:05","23:36","Drinks","-22.00","EUR","1.0000000000","Entertainment","Drinks","Wallet","","","None"
"Expense","2022-08-30 18:40:27","18:40","Bakery","-11.50","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-08-29 20:14:06","20:14","Haircut","-8.00","EUR","1.0000000000","Others","Others","Wallet","","","None"
"Expense","2022-08-29 09:19:38","09:19","Coffee","-6.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-27 21:19:19","21:19","Fuel","-20.00","EUR","1.0000000000","Car","Fuel","Savings","","","None"
"Expense","2022-08-26 18:00:19","18:00","Gamepass","-10.00","EUR","1.0000000000","Entertainment","Games","Savings","","","None"
"Expense","2022-08-26 16:28:22","16:28","Insurance for car","-195.00","EUR","1.0000000000","Car","Maintenance","Wallet","","","None"
"Expense","2022-08-26 16:27:16","16:27","Car","-3000.00","EUR","1.0000000000","Car","Maintenance","Wallet","Agora FORD FOCUS","","None"
"Transfer","2022-08-26 16:26:44","16:26","For car","-3000.00","EUR","1.0000000000","(Transfer)","(Transfer)","Savings","","","None"
"Transfer","2022-08-26 16:26:44","16:26","For car","3000.00","EUR","1.0000000000","(Transfer)","(Transfer)","Wallet","","","None"
"Expense","2022-08-25 12:56:09","12:56","Coffee","-7.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-23 11:27:28","11:27","Coffee","-2.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-22 21:26:19","21:26","Aliexpress","-2.63","EUR","1.0000000000","Entertainment","Shopping","Savings","Xbox controller case","","None"
"Expense","2022-08-22 09:30:02","09:30","Coffee","-7.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-20 16:21:38","16:21","Slippers","-24.05","EUR","1.0000000000","Household","Clothing","Savings","","","None"
"Expense","2022-08-20 14:24:33","14:24","Pizza","-40.00","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-08-19 22:04:54","22:04","Cinema","-12.00","EUR","1.0000000000","Entertainment","Movies","Savings","","","None"
"Expense","2022-08-19 11:50:46","11:50","Snack","-2.50","EUR","1.0000000000","Entertainment","Dining Out","Savings","","","None"
"Expense","2022-08-19 09:21:43","09:21","Coffee","-5.00","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-18 09:52:42","09:52","Coffee","-3.50","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-17 18:24:33","18:24","Gym","-45.00","EUR","1.0000000000","Others","Others","Savings","Gymnastica","","None"
"Expense","2022-08-17 11:20:38","11:20","Headphones","-29.32","EUR","1.0000000000","Entertainment","Shopping","Savings","","","None"
"Expense","2022-08-15 12:34:44","12:34","Coffee","-4.60","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
"Expense","2022-08-14 16:33:22","16:33","Coffee","-2.30","EUR","1.0000000000","Entertainment","Coffee","Savings","Arabica","","None"
